ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120007791,D,2005.0,8.0,NW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1502.0,1.0,,3800.0,NW,1.0,1.0,H,BLU,ZZ,2.0,R,2.0,2,2.0,0.0,No control
T20120007796,A,2006.0,1.0,E,1.0,Paved,V,SEDAN,MITSUB,380,,1,Car,,R,P,4.0,6.0,5.0,1665.0,1.0,,,S,2.0,2.0,H,WHI,ZZ,2.0,1,2.0,6,2.0,0.0,No control
T20120007797,A,2010.0,1.0,E,1.0,Paved,V,SEDAN,SUZUKI,SX4,,1,Car,,R,P,4.0,4.0,5.0,1100.0,2.0,,,S,2.0,2.0,H,BLK,ZZ,2.0,5,2.0,1,2.0,1.0,Stop-go lights
T20120007804,A,1994.0,1.0,N,1.0,Paved,V,SEDAN,NISSAN,PULSAR,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,E,2.0,2.0,H,WHI,ZZ,2.0,7,2.0,3,1.0,1.0,Stop-go lights
T20120007804,B,2001.0,2.0,S,1.0,Paved,V,SEDAN,HYNDAI,ACCENT,,1,Car,,R,P,4.0,4.0,5.0,979.0,1.0,,,S,1.0,1.0,H,RED,ZZ,2.0,F,2.0,4,1.0,1.0,Stop-go lights
T20120007805,A,1994.0,1.0,SE,1.0,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4.0,6.0,5.0,1450.0,2.0,,,S,2.0,2.0,H,WHI,ZZ,2.0,2,2.0,3,1.0,11.0,Giveway sign
T20120007805,B,2004.0,2.0,NE,1.0,Paved,V,SEDAN,KIA,,,1,Car,,R,P,4.0,4.0,5.0,1035.0,2.0,,,NE,1.0,1.0,H,GLD,ZZ,2.0,F,2.0,3,1.0,0.0,No control
T20120007805,C,2009.0,8.0,S,1.0,Paved,V,WAGON,HOLDEN,CALAIS,,2,Station Wagon,,R,P,4.0,8.0,5.0,1859.0,2.0,,,S,11.0,11.0,H,GRY,ZZ,2.0,3,2.0,2,2.0,0.0,No control
T20120007808,A,1997.0,1.0,SW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,M,4.0,6.0,5.0,1350.0,1.0,,,NW,2.0,2.0,H,GLD,ZZ,2.0,F,2.0,4,1.0,0.0,No control
T20120007810,B,2006.0,1.0,S,1.0,Paved,V,SEDAN,HOLDEN,CALAIS,,1,Car,,R,P,4.0,6.0,5.0,1682.0,1.0,,3500.0,NK,10.0,9.0,H,BLU,ZZ,2.0,8,2.0,1,2.0,0.0,No control
